,IEEE,00137A000001276C
,EP,01
,DeviceName,Z311G 1-3
,BeginTime,2014-10-01
,EndTime,2014-10-01

IEEE,EP,Intime,Lux
00137A000001276C,01,"10/1/2014 4:54:25 AM",346
00137A000001276C,01,"10/1/2014 4:55:24 AM",346
00137A000001276C,01,"10/1/2014 4:56:23 AM",346
00137A000001276C,01,"10/1/2014 4:57:22 AM",346
00137A000001276C,01,"10/1/2014 4:58:21 AM",346
00137A000001276C,01,"10/1/2014 4:59:20 AM",346
00137A000001276C,01,"10/1/2014 5:00:19 AM",346
00137A000001276C,01,"10/1/2014 5:02:17 AM",346
00137A000001276C,01,"10/1/2014 5:03:16 AM",346
00137A000001276C,01,"10/1/2014 5:04:15 AM",344
00137A000001276C,01,"10/1/2014 5:05:14 AM",346
00137A000001276C,01,"10/1/2014 5:06:13 AM",346
00137A000001276C,01,"10/1/2014 5:08:11 AM",346
00137A000001276C,01,"10/1/2014 5:09:10 AM",346
00137A000001276C,01,"10/1/2014 5:10:09 AM",346
00137A000001276C,01,"10/1/2014 5:11:08 AM",346
00137A000001276C,01,"10/1/2014 5:12:07 AM",346
00137A000001276C,01,"10/1/2014 5:13:06 AM",346
00137A000001276C,01,"10/1/2014 5:14:05 AM",346
00137A000001276C,01,"10/1/2014 5:15:04 AM",346
00137A000001276C,01,"10/1/2014 5:16:03 AM",346
00137A000001276C,01,"10/1/2014 5:17:02 AM",346
00137A000001276C,01,"10/1/2014 5:17:02 AM",346
00137A000001276C,01,"10/1/2014 5:18:01 AM",346
00137A000001276C,01,"10/1/2014 5:19:00 AM",346
00137A000001276C,01,"10/1/2014 5:19:59 AM",346
00137A000001276C,01,"10/1/2014 5:21:57 AM",346
00137A000001276C,01,"10/1/2014 5:22:56 AM",346
00137A000001276C,01,"10/1/2014 5:23:55 AM",346
00137A000001276C,01,"10/1/2014 5:24:54 AM",346
00137A000001276C,01,"10/1/2014 5:25:53 AM",346
00137A000001276C,01,"10/1/2014 5:27:51 AM",346
00137A000001276C,01,"10/1/2014 5:28:50 AM",346
00137A000001276C,01,"10/1/2014 5:29:49 AM",346
00137A000001276C,01,"10/1/2014 5:30:48 AM",346
00137A000001276C,01,"10/1/2014 5:31:47 AM",346
00137A000001276C,01,"10/1/2014 5:32:46 AM",346
00137A000001276C,01,"10/1/2014 5:33:45 AM",346
00137A000001276C,01,"10/1/2014 5:34:44 AM",346
00137A000001276C,01,"10/1/2014 5:34:44 AM",346
00137A000001276C,01,"10/1/2014 5:34:44 AM",346
00137A000001276C,01,"10/1/2014 5:35:43 AM",346
00137A000001276C,01,"10/1/2014 5:36:42 AM",346
00137A000001276C,01,"10/1/2014 5:37:41 AM",346
00137A000001276C,01,"10/1/2014 5:38:40 AM",346
00137A000001276C,01,"10/1/2014 5:39:39 AM",347
00137A000001276C,01,"10/1/2014 5:40:38 AM",346
00137A000001276C,01,"10/1/2014 5:42:36 AM",346
00137A000001276C,01,"10/1/2014 5:43:35 AM",346
00137A000001276C,01,"10/1/2014 5:44:34 AM",347
00137A000001276C,01,"10/1/2014 5:45:33 AM",347
00137A000001276C,01,"10/1/2014 5:47:31 AM",346
00137A000001276C,01,"10/1/2014 5:48:30 AM",346
00137A000001276C,01,"10/1/2014 5:49:29 AM",346
00137A000001276C,01,"10/1/2014 5:50:28 AM",347
00137A000001276C,01,"10/1/2014 5:50:28 AM",347
00137A000001276C,01,"10/1/2014 5:51:27 AM",347
00137A000001276C,01,"10/1/2014 5:52:26 AM",346
00137A000001276C,01,"10/1/2014 5:53:25 AM",347
00137A000001276C,01,"10/1/2014 5:54:24 AM",347
00137A000001276C,01,"10/1/2014 5:55:23 AM",346
00137A000001276C,01,"10/1/2014 5:56:22 AM",346
00137A000001276C,01,"10/1/2014 5:57:21 AM",346
00137A000001276C,01,"10/1/2014 5:58:20 AM",347
00137A000001276C,01,"10/1/2014 5:59:19 AM",347
00137A000001276C,01,"10/1/2014 6:00:17 AM",347
00137A000001276C,01,"10/1/2014 6:01:16 AM",347
00137A000001276C,01,"10/1/2014 6:02:15 AM",347
00137A000001276C,01,"10/1/2014 6:03:14 AM",346
00137A000001276C,01,"10/1/2014 6:04:13 AM",346
00137A000001276C,01,"10/1/2014 6:05:12 AM",346
00137A000001276C,01,"10/1/2014 6:06:11 AM",347
00137A000001276C,01,"10/1/2014 6:07:10 AM",346
00137A000001276C,01,"10/1/2014 6:08:09 AM",346
00137A000001276C,01,"10/1/2014 6:09:08 AM",346
00137A000001276C,01,"10/1/2014 6:10:07 AM",346
00137A000001276C,01,"10/1/2014 6:11:06 AM",346
00137A000001276C,01,"10/1/2014 6:12:05 AM",346
00137A000001276C,01,"10/1/2014 6:13:04 AM",346
00137A000001276C,01,"10/1/2014 6:13:04 AM",346
00137A000001276C,01,"10/1/2014 6:14:03 AM",346
00137A000001276C,01,"10/1/2014 6:15:02 AM",347
00137A000001276C,01,"10/1/2014 6:16:01 AM",346
